NAME,FORMULA,DHF,ID,,
Dioxoperoxysulfane,"(O2S)(OO) (g, singlet C1)",-177.7,*103613-08-7*11,,
Dioxoperoxysulfane,"(O2S)(OO) (g, singlet Cs ?)",-177.5,*103613-08-7*12,,
Dioxoperoxysulfane,"(O2S)(OO) (g, triplet C1)",-296.1,*103613-08-7*21,,
Dioxoperoxysulfane,"(O2S)(OO) (g, triplet Cs ?)",-295.5,*103613-08-7*22,,
"(2,3-dimethylphenyl)oxomethyl","CH3C6H3(CH3)CO (g, ortho-meta)",60.5,*104680-89-9*0,,
Nitrogen sesquioxide cation,"[ONN(O)O]+ (g, vdW)",1023.7,*10544-73-7*0,,
Dihydrogen fluoride anion,"[(F)(HH)]- (g, singlet)",-260.1,*117339-92-1*2,,
3-Methylene-1-cyclopropen-1-yl anion,[CH2C(CHC)]- (g),413.6,*117469-28-0*0,,
C=O=C,"COC (g, triplet)",657.3,*12071-23-7*1,,
C=O=C,"COC (g, singlet)",726.2,*12071-23-7*2,,
COC vdW,(CO)(C) (g),598.4,*12071-24-8*0,,
COC vdW,"(CO)(C) (g, triplet)",598.4,*12071-24-8*1,,
COC vdW,"(CO)(C) (g, singlet)",734.6,*12071-24-8*2,,
Isopropylidene anion,[CH3CCH3]- (g),268.4,*121408-19-3*0,,
Propylidene anion,[CH3CH2CH]- (g),286.7,*121408-55-7*0,,
Nitrosyl nitrite anion,[ONONO]- (g),-106.1,*122413-35-8*0,,
Nitrosyl nitrite anion,"[ONONO]- (g, t, t)",-106.2,*122413-35-8*1,,
Nitrosyl nitrite anion,"[ONONO]- (g, t, c)",-103.4,*122413-35-8*2,,
Sulfur hydroxide oxide cation,[OHS(O)(O)O]+ (g),648.3,*12337-07-4*0,,
Sulfur hydroxide oxide cation,"[OHS(O)(O)O]+ (g, staggered)",652.2,*12337-07-4*1,,
Sulfur hydroxide oxide cation,"[OHS(O)(O)O]+ (g, eclipsed)",647.8,*12337-07-4*2,,
2-Hydrotrioxy,OO(H)O (g),293.7,*12500-78-6*0,,
Dihydrohelium cation,[HHeH]+ (g),1568.9,*12500-88-8*0,,
Cyclic thiozone,S(SS) (g),166.6,*12597-03-4*0,,
cyc-Trisulfide,[S(SS)]- (g),14.6,*12597-04-5*0,,
1-Hydroperoxyethylium,[CH3CHOOH]+ (g),675.8,*126898-98-4*0,,
1-Hydroperoxyethylium,"[CH3CHOOH]+ (g, triplet)",830.3,*126898-98-4*1,,
1-Hydroperoxyethylium,"[CH3CHOOH]+ (g, trans triplet)",829.5,*126898-98-4*11,,
1-Hydroperoxyethylium,"[CH3CHOOH]+ (g, cis triplet)",831.8,*126898-98-4*12,,
1-Hydroperoxyethylium,"[CH3CHOOH]+ (g, singlet)",675.8,*126898-98-4*2,,
1-Hydroperoxyethylium,"[CH3CHOOH]+ (g, trans singlet)",675,*126898-98-4*21,,
1-Hydroperoxyethylium,"[CH3CHOOH]+ (g, cis singlet)",676.3,*126898-98-4*22,,
Hydrogen difluoride cation,[FFH]+ (g),1171.3,*126950-54-7*0,,
Hydrogen difluoride cation,"[(HF)(F)]+ (g, triplet)",1265.4,*126950-54-7*1,,
Hydrogen difluoride cation,"[FFH]+ (g, singlet)",1171.3,*126950-54-7*2,,
1-Iminoethylium,[CH3CNH]+ (g),823.2,*128365-64-0*0,,
1-Iminoethylium,"[CH3CNH]+ (g, triplet)",1333.3,*128365-64-0*1,,
1-Iminoethylium,"[CH3CNH]+ (g, syn-triplet)",1368.8,*128365-64-0*11,,
1-Iminoethylium,"[CH3CNH]+ (g, anti-triplet)",1333.3,*128365-64-0*12,,
1-Iminoethylium,"[CH3CNH]+ (g, singlet)",823.2,*128365-64-0*2,,
1-Iminoethanide,[CH3CNH]- (g),175.6,*128365-65-1*0,,
1-Iminoethanide,"[CH3CNH]- (g, syn)",182.6,*128365-65-1*1,,
1-Iminoethanide,"[CH3CNH]- (g, anti)",175.3,*128365-65-1*2,,
Di-mu-hydrodihydrodisilicon cation,[HSi(HSiHH)]+ (g),1172.7,*129970-82-7*0,,
Di-mu-hydrodihydrodisilicon cation,"[HSi(HSiHH)]+ (g, trans)",1172.7,*129970-82-7*1,,
Di-mu-hydrodihydrodisilicon cation,"[HSi(HSiHH)]+ (g, cis)",1184.7,*129970-82-7*2,,
Di-mu-hydrodihydrodisilicon anion,[HSi(HSiHH)]- (g),280.4,*129970-83-8*0,,
Di-mu-hydrodihydrodisilicon anion,"[HSi(HSiHH)]- (g, trans)",279.9,*129970-83-8*1,,
Di-mu-hydrodihydrodisilicon anion,"[HSi(HSiHH)]- (g, cis)",289.1,*129970-83-8*2,,
Diazoethenylidene cation,[NNCC]+ (g),1773.1,*130760-10-0*0,,
Diazoethenylidene anion,[NNCC]- (g),532.2,*130760-11-1*0,,
(E)-Difluorodiazene cation,"[FNNF]+ (g, trans)",1302.3,*13776-62-0*1,,
Dioxiranylidene cation,[C(OO)]+ (g),1410.3,*138832-57-2*0,,
Dioxiranylidene anion,"[C(OO)]- (g, ?)",-109.7,*138832-58-3*0,,
1-Aminoethenylium,[CH2CNH2]+ (g),889.2,*139597-26-5*0,,
2-Chloro ozone,ClO(O)O (g),265.1,*141801-66-3*0,,
2-Chloro ozone anion,[ClO(O)O]- (g),-105.9,*141801-67-4*0,,
Peroxynitrous acid cation,[HOONO]+ (g),919.2,*14691-52-2*0,,
Peroxynitrous acid cation,"[(HOO)(NO)]+ (g, 2A"")",919.2,*14691-52-2*1,,
Peroxynitrous acid cation,"[(HOO)(NO)]+ (g, cis, trans 2A"")",918.3,*14691-52-2*11,,
Peroxynitrous acid cation,"[(HOO)(NO)]+ (g, trans, trans 2A"")",920.3,*14691-52-2*12,,
Peroxynitrous acid cation,"[(HOO)(NO)]+ (g, trans, cis 2A"")",944.2,*14691-52-2*13,,
Peroxynitrous acid cation,"[HOONO]+ (g, 2A')",1075.5,*14691-52-2*2,,
Peroxynitrous acid cation,"[HOONO]+ (g, cis, trans 2A')",1075.5,*14691-52-2*21,,
Dioxoperoxysulfate dianion,[OS(O)OO]-2 (g),-214.8,*14808-79-8*0,,
Dioxoperoxysulfate dianion,"[OS(O)OO]-2 (g, C1)",-214.8,*14808-79-8*1,,
Dioxoperoxysulfate dianion,"[OS(O)OO]-2 (g, Cs)",-192.2,*14808-79-8*2,,
Iminomethylimidogen cation,"[NCHN]+ (g, triplet)",1676.4,*150296-30-3*1,,
Trioxirane cation,[O(OO)]+ (g),1442.2,*153851-84-4*0,,
Oxirene anion,[O(CHCH)]- (g),285.2,*157-18-6*0,,
1H-Diazirene cation,[CH(NHN)]+ (g),1326.3,*157-23-3*0,,
Dioxirane anion,[CH2(OO)]- (g),-179.8,*157-26-6*0,,
Nitrosyl nitrate,"ON(O2)NO (g, perp)",62.4,*15969-55-8*0,,
Di-mu-hydrotrihydrodisilicon cation,[SiH2(HSiHH)]+ (g),1020.3,*160896-65-1*0,,
Propenediylidene anion,[CHCHC]- (g),590,*161054-36-0*0,,
