id,name,formula,smiles,exp_dhf_kcal_mol,source,category
314,Nitrosyl nitrite anion,N2O3,O=NON=O,-25.382409,ATcT_v1.220,small_CHNO
315,Thiozone,S3,S=S=S,34.15153,ATcT_v1.220,sulfur
316,(E)-Difluorodiazene,F2N2,FN=NF,18.857553,ATcT_v1.220,fluorinated
317,Peroxynitrous acid,HNO3,O=NOO,-3.381931,ATcT_v1.220,small_CHNO
318,Nitrosyl nitrate,N2O4,O=NO[N+](=O)[O-],9.655832,ATcT_v1.220,small_CHNO
319,Peroxyhypochlorous acid,HClO2,OOCl,-0.310707,ATcT_v1.220,chlorinated
320,Oxygen difluoride anion,F2O,FOF,-48.255258,ATcT_v1.220,fluorinated
321,Difluorodioxidane,F2O2,FOOF,7.566922,ATcT_v1.220,fluorinated
322,Diisocyanogen,C2N2,[C-]#[N+][N+]#[C-],146.558317,ATcT_v1.220,small_CHNO
323,Isocyanogen anion,C2N2,[C-]#[N+]C#N,92.90153,ATcT_v1.220,small_CHNO
324,Benzonitrile,C7H5N,N#Cc1ccccc1,51.577438,ATcT_v1.220,small_CHNO
325,Anisole,C7H8O,COc1ccccc1,-16.926386,ATcT_v1.220,small_CHNO
326,Tetrafluorohydrazine,F4N2,FN(F)N(F)F,-5.473231,ATcT_v1.220,fluorinated
327,Dinitrogen pentoxide,N2O5,O=[N+]([O-])O[N+](=O)[O-],3.534895,ATcT_v1.220,small_CHNO
328,Butadienylacetylene,C6H6,C#CC=CC=C,82.791587,ATcT_v1.220,hydrocarbon
329,"1,4-Hexadiyne",C6H6,C#CCC#CC,99.139579,ATcT_v1.220,hydrocarbon
330,Chlorine chlorite,Cl2O2,[O-][Cl+]OCl,39.722753,ATcT_v1.220,chlorinated
331,Dinitrogen tetraoxide,N2O4,O=[N+]([O-])[N+](=O)[O-],2.609943,ATcT_v1.220,small_CHNO
332,1-Butene,C4H8,C=CCC,0.066922,ATcT_v1.220,hydrocarbon
333,1-Butyne,C4H6,C#CCC,39.873327,ATcT_v1.220,hydrocarbon
334,Acrolein,C3H4O,C=CC=O,-15.659656,ATcT_v1.220,small_CHNO
335,"1,2-Dichloroethane",C2H4Cl2,ClCCCl,-31.178298,ATcT_v1.220,chlorinated
336,2-Chloroethanol,C2H5ClO,OCCCl,-63.692639,ATcT_v1.220,chlorinated
337,1-Propanamine,C3H9N,CCCN,-16.718451,ATcT_v1.220,small_CHNO
338,Ethylene glycol,C2H6O2,OCCO,-93.040153,ATcT_v1.220,small_CHNO
339,Methoxyethene,C3H6O,C=COC,-25.597514,ATcT_v1.220,small_CHNO
340,Cyanoacetylene,C3HN,C#CC#N,89.385755,ATcT_v1.220,small_CHNO
341,Chlorobenzene,C6H5Cl,Clc1ccccc1,12.50478,ATcT_v1.220,chlorinated
342,Phenol,C6H6O,Oc1ccccc1,-22.213193,ATcT_v1.220,small_CHNO
343,n-Pentane,C5H12,CCCCC,-34.906788,ATcT_v1.220,hydrocarbon
344,Ethoxyethene,C4H8O,C=COCC,-33.819312,ATcT_v1.220,small_CHNO
345,Succinic acid,C4H6O4,O=C(O)CCC(=O)O,-196.773423,ATcT_v1.220,small_CHNO
346,n-Hexane,C6H14,CCCCCC,-39.858987,ATcT_v1.220,hydrocarbon
347,2-Methylene-2H-azirine,C3H3N,C=C1C=N1,94.885277,ATcT_v1.220,small_CHNO
348,Tetrafluoroethylene,C2F4,FC(F)=C(F)F,-161.104207,ATcT_v1.220,fluorinated
349,"1,3-Pentadiyne-1.5-diyl",C5H2,[C-]#CC#C[CH2+],188.169216,ATcT_v1.220,hydrocarbon
