id,name,formula,smiles,exp_dhf_kcal_mol,source
1,nitromethane,CH3NO2,C[N+](=O)[O-],-19.3,Cawkwell2021
2,tetranitromethane,CN4O8,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],19.7,Cawkwell2021
3,azidotrinitromethane,CN6O6,[N-]=[N+]=NC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],84.2,Cawkwell2021
4,N-methyl-N-nitromethanamine,C2H6N2O2,CN(C)[N+](=O)[O-],-1.2,Cawkwell2021
5,"1-azido-1,1-dinitroethane",C2H3N5O4,[N-]=[N+]=NC(C)([N+](=O)[O-])[N+](=O)[O-],60.4,Cawkwell2021
6,hexanitroethane,C2N6O12,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],42.8,Cawkwell2021
7,nitroglycerin,C3H5N3O9,[O-][N+](=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-66.71,Cawkwell2021
8,"hexahydro-1,3,5-trinitroso-1,3,5-triazine",C3H6N6O3,O=NN1CN(N=O)CN(N=O)C1,94.3,Cawkwell2021
9,RDX,C3H6N6O6,[O-][N+](=O)N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,45.8,Cawkwell2021
10,"1,4-dinitroso-piperazine",C4H8N4O2,O=NN1CCN(N=O)CC1,46.4,Cawkwell2021
11,"1,4-dinitro-piperazine",C4H8N4O4,[O-][N+](=O)N1CCN([N+](=O)[O-])CC1,13.9,Cawkwell2021
12,"N-nitrobis(2,2,2-trinitroethyl)amine",C4H4N8O14,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],21.42,Cawkwell2021
13,nitrobenzene,C6H5NO2,[O-][N+](=O)c1ccccc1,16.38,Cawkwell2021
14,2-nitrophenol,C6H5NO3,Oc1ccccc1[N+](=O)[O-],-31.62,Cawkwell2021
15,3-nitrophenol,C6H5NO3,Oc1cccc([N+](=O)[O-])c1,-26.12,Cawkwell2021
16,4-nitrophenol,C6H5NO3,Oc1ccc([N+](=O)[O-])cc1,-27.41,Cawkwell2021
17,m-nitroaniline,C6H6N2O2,Nc1cccc([N+](=O)[O-])c1,14.9,Cawkwell2021
18,p-nitroaniline,C6H6N2O2,Nc1ccc([N+](=O)[O-])cc1,13.2,Cawkwell2021
19,azidobenzene,C6H5N3,[N-]=[N+]=Nc1ccccc1,93.0,Cawkwell2021
20,1-azido-4-nitrobenzene,C6H4N4O2,[N-]=[N+]=Nc1ccc([N+](=O)[O-])cc1,93.1,Cawkwell2021
