id,name,smiles,C_4,H_4,N_4,O_4,C_7,H_7,N_7,O_7,C_prime,N_prime,O_prime
1,PETN-CH (liquid),O=N(=O)OCC(CON(=O)=O)CON(=O)=O,4,7,3,9,4,7,0,3,0,3,6
2,PETN-CMe,CC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,5,9,3,9,5,9,0,3,0,3,6
3,PETN,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],5,8,4,12,5,8,0,4,0,4,8
4,PETN-CH (solid),O=N(=O)OCC(CON(=O)=O)CON(=O)=O,4,7,3,9,4,7,0,3,0,3,6
5,PETN-CNH2,NC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,4,8,4,9,4,8,1,3,0,3,6
6,DNBTT,O=N(=O)c3nc2[nH]n1nc(N(=O)=O)nc1[nH]n2n3,4,2,10,4,0,2,2,0,4,8,4
7,AmTetTzDO,Nc2nn1nn(=O)nc1nn2=O,2,2,8,2,0,2,3,0,2,5,2
8,PTX,Nc1c(N(=O)=O)nnc2c(N(=O)=O)c(N(=O)=O)nn12,5,2,8,6,0,2,1,0,5,7,6
9,DADNBT,Nn1nc(N(=O)=O)nc1c2nc(N(=O)=O)nn2N,4,4,10,4,0,4,2,0,4,8,4
10,DATrF,n6nc1nonc1c2nonc2c3nonc3nnc4nonc4c5nonc5c7nonc67,12,0,16,6,0,0,0,6,12,16,0
11,DPX-26,Nc1c(N(=O)=O)nnc2nc(N(=O)=O)nn12,4,2,8,4,0,2,1,0,4,7,4
12,P2Tz,O=N(=O)OCC(COc1nnc(OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O)nn1)(CON(=O)=O)CON(=O)=O,12,16,10,20,10,16,0,8,2,10,12
13,BNDD,O=N(=O)c1nonc1c3noc(c2nonc2N(=O)=O)no3,6,0,8,8,0,0,0,4,6,8,4
14,BTMN-V3,O=N(=O)N(Cc1nnn[nH]1)Cc2nnn[nH]2,4,6,10,2,2,6,1,0,2,9,2
15,ETN,C(C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],4,6,4,12,4,6,0,4,0,4,8
16,L-ETN,O=N(=O)OC[C@H](ON(=O)=O)[C@H](CON(=O)=O)ON(=O)=O,4,6,4,12,4,6,0,4,0,4,8
17,D-ETN,O=N(=O)OC[C@@H](ON(=O)=O)[C@@H](CON(=O)=O)ON(=O)=O,4,6,4,12,4,6,0,4,0,4,8
18,MHN,O=N(=O)OC[C@@H](ON(=O)=O)[C@@H](ON(=O)=O)[C@H](ON(=O)=O)[C@@H](CON(=O)=O)ON(=O)=O,6,8,6,18,6,8,0,6,0,6,12
