method,n_conformers,model,n_params,subset,n_molecules,adj_r2,rmsd,mad,max_dev,cv_rmsd,time_sec,hardware
xTB,1.0,4param,4,all,310,0.909867621047768,11.066131935899358,7.066659707850853,76.09988006273807,11.433656057086024,15.242369890213013,CPU
xTB,1.0,7param,7,all,310,0.9490402000700052,8.279856990711469,4.519965312548047,71.0145623680014,8.848407391254916,15.242369890213013,CPU
xTB,1.0,hybrid,9,all,310,0.9585247141472726,7.444933595309176,4.084324952688236,49.48498856527935,8.290076298812242,15.242369890213013,CPU
xTB,1.0,bondorder,9,all,310,0.9758449736115716,5.681590026783822,3.60037273168405,28.795845259622,6.616326094887765,15.242369890213013,CPU
xTB,1.0,bondorder_ext,15,all,310,0.9838921747138448,4.593012501608927,2.9649724023415343,24.18903449648261,5.430339809330476,15.242369890213013,CPU
xTB,1.0,bondorder_ar,12,all,310,0.9758588523248192,5.651486416895686,3.563860292529893,28.790889834098195,6.791617697145576,15.242369890213013,CPU
xTB,1.0,extended,14,all,310,0.9593347947274452,7.310178800744802,3.906408077309296,49.23137698674604,8.23408047135277,15.242369890213013,CPU
xTB,1.0,neighbour,22,all,310,0.9805669074960836,4.9844519581117614,2.812178465867813,50.69887285495279,564.6958522825175,15.242369890213013,CPU
xTB,1.0,4param,4,cawkwell,102,0.8428307054548116,16.965346529446908,12.050553223011285,77.07643766872388,17.739346096931573,15.242369890213013,CPU
xTB,1.0,7param,7,cawkwell,102,0.8952543321478631,13.63405299239162,9.4441550769479,68.97094551277269,15.072415957107143,15.242369890213013,CPU
xTB,1.0,hybrid,9,cawkwell,102,0.9140267226143796,12.219928670171502,8.636405676102191,48.20615451034887,13.55114196111086,15.242369890213013,CPU
xTB,1.0,bondorder,9,cawkwell,102,0.955182167457841,8.822920261792692,6.777407642498168,27.20706002755905,10.407431210870902,15.242369890213013,CPU
xTB,1.0,bondorder_ext,15,cawkwell,102,0.970626745167732,6.905868080382967,5.069361758885476,23.658035060053777,8.977126915617783,15.242369890213013,CPU
xTB,1.0,bondorder_ar,12,cawkwell,102,0.9544161835662274,8.751718913756715,6.708022957009384,26.58327467185954,10.61866891396962,15.242369890213013,CPU
xTB,1.0,extended,14,cawkwell,102,0.9146696020518787,11.838713962584084,8.068715531058302,42.41295134992019,13.977796058891087,15.242369890213013,CPU
xTB,1.0,neighbour,22,cawkwell,102,0.962537424589752,7.474899819754277,4.385574212475675,49.35805726410545,994.2403161528712,15.242369890213013,CPU
xTB,3.0,4param,4,all,310,0.9097772637161152,11.07167742182888,7.07634834705303,76.2483688190764,11.435416272076154,15.416492462158203,CPU
xTB,3.0,7param,7,all,310,0.9487646596194832,8.302211473052736,4.522772821370046,71.26027820696709,8.868320041533687,15.416492462158203,CPU
xTB,3.0,hybrid,9,all,310,0.9582933151753475,7.465673099958717,4.096393483787306,49.50768234215416,8.31488261876262,15.416492462158203,CPU
